Qui est la directrice générale des Finances publiques en mars 2024 ?,Amélie Verdier.
"Depuis le 1er janvier 2024, quelle administration est compétente pour le recouvrement de l'accise sur les tabacs et les alcools ?",La DGFiP.
"Quel était le délai moyen de mise à jour du fichier immobilier en 2024, dépassant largement l'objectif du COM ?","25,3 jours."
Quelle direction de la DGFiP pilote la politique immobilière de l’État ?,La Direction de l’immobilier de l’État (DIE).
Quel outil de datavisualisation a été mis à disposition du public par la DGFiP pour accroître la transparence sur les comptes de l’État ?,Un module modélisant les comptes de l’État et leurs mouvements sur dix ans.
Quel système d'information financière de l'État a bénéficié d'une nouvelle version majeure en mai 2024 ?,L'application Chorus.
Que regroupe un Centre de Gestion Financière (CGF) ?,Les missions d'un centre de service partagé (ordonnateur) et d'un service facturier (comptable).
"En 2024, combien de milliards d’euros de dépenses de l’État ont été payées par les Finances publiques ?",868 milliards d'euros.
Quel montant d'aides la DGFiP a-t-elle versé à Mayotte en 2024 pour soutenir les entreprises touchées par diverses crises ?,"35,9 millions d'euros."
Qu'est-ce que le Diagnostic de maîtrise des risques (DMR) ?,"Un outil d’auto-évaluation de contrôle interne financier pour les acteurs publics, élaboré par la DGFiP et la direction du Budget."
Combien de téléchargements l'application mobile impots.gouv a-t-elle enregistrés ?,"3,7 millions."
Quel est le numéro de téléphone national unique pour contacter les Finances publiques ?,Le 0 809 401 401.
Quel règlement européen encadre le traitement des données personnelles par la DGFiP ?,Le Règlement général sur la protection des données (RGPD).
Combien d'agents sont mobilisés au sein des 20 centres de contact des Finances publiques en France ?,Près de 800 agents.
"Quel principe, de plus en plus identifié par les usagers (65% en 2024), la DGFiP respecte-t-elle dans son action quotidienne ?",Le principe du « droit à l’erreur ».
Quel nouveau dispositif la DGFiP a-t-elle déployé en 2024 pour protéger les victimes de violences conjugales ?,Un dispositif d’anonymisation des adresses.
Qui sont les Conseillers aux décideurs locaux (CDL) ?,Des agents de la DGFiP offrant un accompagnement sur mesure aux élus locaux (communes et EPCI).
Qu'est-ce que le Compte Financier Unique (CFU) ?,La fusion du compte administratif de l'ordonnateur et du compte de gestion du comptable pour les collectivités locales.
Quelle est l'obligation introduite par la loi de finances pour 2024 pour les collectivités de plus de 3 500 habitants concernant leur budget ?,Produire une annexe « Impact du budget pour la transition écologique » (Budget vert).
Comment se nomme le nouveau service mis en œuvre en 2024 pour améliorer la gestion et le recouvrement de la taxe de séjour ?,Faritas (FAciliter le Recouvrement de l’Impôt et de la TAxe de Séjour).
Qu'est-ce qu'une fraude au FOVI ?,"Une fraude aux Faux Ordres de Virement Internationaux, qui est le détournement d’un virement par usurpation de l’identité d’un créancier."
Quel est l'un des objectifs principaux de la mise en place de la facturation électronique pour les entreprises ?,"Lutter plus efficacement contre la fraude à la TVA, pour un gain potentiel de 3 milliards d'euros d'ici 2028."
Les factures électroniques transiteront obligatoirement via des _____ immatriculées par l'administration fiscale.,plateformes de dématérialisation partenaires (PDP).
Quel est le rôle du service d'accompagnement fiscal des PME (SAFPME) ?,Assister les PME dans leurs démarches fiscales et garantir leur sécurité juridique.
"Quelle instance, présidée par le Directeur départemental des Finances publiques, aide les entreprises en difficulté en leur accordant des plans d'apurement de dettes fiscales et sociales ?",La Commission des chefs de services financiers (CCSF).
Qu'est-ce que le service « Tax4Business » proposé par la DGFiP ?,Un guichet unique offrant un accompagnement personnalisé aux investisseurs étrangers sur la fiscalité française.
"Quel est l'objectif du registre européen des paiements transfrontaliers « CESOP », en vigueur depuis le 1er janvier 2024 ?",Détecter et lutter contre la fraude transfrontalière à la TVA dans le commerce électronique.
"Dans le cadre de l'échange automatique d'informations (EAI), quel type d'actifs sera échangé automatiquement à partir du 1er janvier 2027 ?",Les crypto-actifs.
"Quel programme de l'OCDE, auquel la DGFiP participe, vise à renforcer les capacités des administrations fiscales des pays en développement ?",Le programme « Inspecteurs des impôts sans frontières » (IISF).
Combien d'agents la DGFiP comptait-elle environ en 2024 ?,Environ 95 000 agents.
"En 2024, quel employeur national a formé le plus grand nombre de duos lors des DuoDays pour l'emploi des personnes handicapées ?","La DGFiP, avec 275 duos."
Quel est le nom du réseau interne lancé en 2022 pour favoriser l’égalité professionnelle entre les femmes et les hommes à la DGFiP ?,Le réseau « Femmes de la DGFiP ».
Quelle plateforme de formation interministérielle a été déployée à la DGFiP en septembre 2024 ?,La plateforme Mentor.
Quel est l'un des principaux bénéfices de la réforme du Nouveau réseau de proximité (NRP) achevée en 2024 ?,"Maintenir ou réimplanter des services dans des territoires isolés, augmentant le nombre de communes avec une présence de la DGFiP."
Quel a été le rôle des services de la Direction nationale d’interventions domaniales (DNID) dans le cadre des JOP 2024 ?,Réaliser les évaluations financières des biens nécessaires à la construction des équipements olympiques.
"Dans le cadre de sa politique écoresponsable, la DGFiP s'est engagée à former tous ses agents à la _____ d'ici 2027.",transition écologique.
Quelle direction nationale de la DGFiP est spécialisée dans le contrôle fiscal des grandes entreprises et des dossiers à fort enjeu financier ?,La direction des vérifications nationales et internationales (DVNI).
Quelle est la principale mission des Pôles Nationaux de Contrôle à Distance (PNCD) ?,L'exploitation en grand nombre d'anomalies simples ciblées par data-mining.
Combien de milliards d'euros de dépenses du secteur public local ont été payées par les Finances publiques en 2024 ?,289 milliards d'euros.
L'application mobile impots.gouv a permis à plus de _____ contribuables de remplir leur déclaration directement depuis leur smartphone en 2024.,500 000.
Quel est le taux de satisfaction des particuliers et des professionnels concernant le site impots.gouv.fr en 2024 ?,94% pour les particuliers et 95% pour les professionnels.
