Quel est l'acronyme du document stratégique de la DGFiP pour le numérique ?,SDNum (Schéma directeur du numérique).
Quelle est la finalité du projet 'Tableau de bord de l’accueil usagers' attendu en 2026 ?,Offrir un outil d'aide à la décision en centralisant les informations relatives à l'accueil des usagers.
"Quel principe d'action structurant est appliqué pour la conception, le déploiement et l'évolution des solutions numériques de la DGFiP ?",Mettre l’utilisateur au centre.
La DGFiP s'oriente vers une sortie des systèmes d'exploitation _____ pour réduire sa dette technique.,GCOS.
"En matière de tests, la DGFiP distingue a minima les tests techniques, fonctionnels, d'intégration technique, de bout en bout et la _____.",validation métier.
"Le pilotage, la conception, le développement et l'exploitation du SI sont maîtrisés et mis en œuvre par des _____.",agents DGFiP.
"Quel service, en plus du SSI et de la DTNum, contribue à la fabrication de logiciels pour répondre à des besoins spécifiques ?",Les logiciels d'initiatives locales ou les intrapreneurs de la Fabrique numérique.
Le Schéma Directeur du Numérique (SDNum) est conçu pour être mis à jour à quelle fréquence ?,Annuellement.
"Dans la démarche de construction du SDNum, que signifie le parangonnage ?",La collecte d'informations auprès d'administrations fiscales étrangères pour comparer et s'inspirer de leurs pratiques.
Quel projet vise à moderniser les applications de gestion de la fiscalité directe locale (FDL et FIDELIO) ?,Le projet BASIL.
Le projet de modernisation de l'application PAYFIP vise à en faire l'outil de _____ des administrations publiques.,paiement en ligne.
Terme : TAAP (dans Chorus).,"Définition : Traitement Automatique d’Analyse Prédictive, un algorithme d'IA qui aide au contrôle des dépenses de l'État."
"Le renforcement de la sécurisation de l'accès au compte fiscal des particuliers, généralisé en 2025, passe par la mise en place d'une _____.",double authentification.
Quelle est la mission du projet MUTSI ?,Mutualiser et moderniser les systèmes d’information de gestion et paiement des retraites du service des retraites de l'état (SRE) et de la Caisse des dépôts et consignations (CDC).
Le projet BALTIC a pour but de faciliter la consultation des données _____ et des extraits de rôles des impôts directs locaux.,cadastrales.
Quel est l'un des deux objectifs du mode d'organisation DevOps ?,Favoriser une collaboration fluide entre tous les acteurs (Dev et Ops) OU intégrer et déployer en continu.
"Quel référentiel inter-administratif, intégrant celui des locaux de la DGFiP, a été ouvert en 2024 ?",Le RIAL (Référentiel Inter-Administratif des Locaux).
