"Quel est l'objectif principal de la France énoncé dans la brochure, à atteindre d'ici 2040 ?",Devenir la première économie verte d’Europe.
"Quel outil, développé par Bercy, permet de mesurer l'impact environnemental (favorable ou défavorable) du budget de l'État ?",Le « budget vert ».
"À partir du projet de loi de finances pour 2024, quelle obligation de type ""budget vert"" est généralisée aux collectivités de plus de 3500 habitants ?","La production d'une annexe budgétaire de type « budget vert », concernant d'abord les dépenses d'investissement."
Quel est le secteur économique qui a été le principal contributeur à la décarbonation de l'économie française entre 1990 et 2019 ?,"L'industrie, avec une baisse de 46 % de ses émissions."
La stratégie Industrie verte repose sur trois piliers. Citez-en un.,"La décarbonation des industries existantes, la réindustrialisation, ou le développement accéléré des technologies vertes."
Quelle est la réduction de l'empreinte carbone française attendue d'ici 2030 grâce au projet Industrie Verte ?,-41 millions de tonnes de CO2.
La loi Industrie verte vise à réduire les délais de délivrance des permis pour l'implantation d'une nouvelle usine de 17 mois à _____.,9 mois
"Quel est le nom du nouveau crédit d'impôt créé pour soutenir la production de panneaux photovoltaïques, batteries, pompes à chaleur et éoliennes en France ?",Le crédit d’impôt « Investissement Industries Vertes » (C3IV).
"À partir de fin 2023, l'attribution du bonus écologique pour un véhicule électrique est conditionnée à un _____.",score environnemental
Quel est l'objectif de réduction des émissions de gaz à effet de serre fixé pour les 50 sites industriels les plus émetteurs d'ici une décennie ?,Diviser par deux leurs émissions (ou une baisse de 45% d'ici 2030).
Que signifie l'acronyme CCUS ?,"Carbon Capture, Utilisation and Storage (Capture, stockage et utilisation du carbone)."
Quel est l'objectif de la stratégie CCUS de la France pour 2030 en termes de CO2 capturé et stocké ?,Entre 4 et 8 millions de tonnes de CO2.
L'hydrogène décarboné est une solution pour remplacer l'hydrogène fossile utilisé dans quels types d'industries ?,"Le raffinage, la chimie ou encore la production d’engrais."
De quel montant est doté le plan France 2030 pour favoriser l'innovation et investir dans les secteurs d'avenir ?,54 milliards d’euros sur 5 ans.
Que signifie l'acronyme PIIEC ?,Projets importants d’intérêt européen commun.
"Quel programme, en partenariat avec Bpifrance, accompagne les acteurs émergents de la greentech ?",French Tech 2030.
Un fonds d'investissement dédié aux minerais et métaux critiques a été abondé par l'État à hauteur de combien dans le cadre de France 2030 ?,500 millions d'euros.
"Face à l'évolution des risques climatiques, quelle réforme du régime assurantiel a été engagée le 1er janvier 2023 ?",La réforme du régime d’assurance récolte.
Quel est l'objectif national de réduction des prélèvements en eau d'ici 2030 annoncé par le Président de la République ?,Une réduction de 10%.
"Sur les 100 milliards d'euros du plan France Relance, combien ont été consacrés directement à la transition écologique ?",30 milliards d'euros.
"Quel est le montant des dépenses vertes prévues dans le budget 2024, et quelle est l'augmentation par rapport à 2023 ?","40 milliards d'euros, soit 10 milliards de plus qu'en 2023."
"Quel nouveau produit d'épargne, créé par la loi Industrie verte, est destiné aux moins de 18 ans et fléché vers la décarbonation ?",Le Plan d’épargne avenir climat (PEAC).
"Quelle modification majeure a été apportée au label ""Investissement Socialement Responsable"" (ISR) concernant les énergies fossiles ?","Il exclut désormais les entreprises exploitant du charbon, des hydrocarbures non conventionnels, ou lançant de nouveaux projets d'hydrocarbures."
"Depuis le 1er janvier 2023, les projets dans le secteur des _____ sont exclus des garanties publiques à l'exportation.",énergies fossiles
En quelle année l'État français a-t-il émis sa première obligation souveraine verte ?,En 2017.
"Quel dispositif fiscal, classé défavorable à l'environnement dans le budget vert, a été supprimé fin 2024 ?",Le dispositif dit « Pinel ».
Quelle est la contribution de la France au Fonds vert pour le climat pour la période 2020-2023 ?,"1,6 milliard d'euros."
Comment se nomme la démarche interne au ministère de l'Économie visant à accélérer sa propre transition écologique ?,Bercy Vert.
Quelle nouvelle sous-direction a été créée en septembre 2023 au sein de la direction générale du Trésor ?,Une sous-direction « Transition écologique ».
Que signifie l'acronyme BEGES et quel est son rôle pour le ministère ?,Bilan des émissions de gaz à effet de serre ; c'est un outil pour mesurer l'impact carbone et élaborer un plan de transition.
De combien le ministère de l'Économie a-t-il diminué sa consommation d'énergie entre 2019 et 2022 ?,De 13 %.
Quel est l'objectif de réduction de la consommation énergétique finale des bâtiments publics d'ici 2050 ?,Une réduction de 60 %.
"Quelle direction, rattachée à la DGFiP, conduit la politique immobilière de l'État ?",La Direction de l’immobilier de l’Etat (DIE).
"Le modèle de simulation macroéconomique du Trésor, qui permet d'évaluer l'impact des réformes sur les émissions de GES, s'appelle _____.",Mésange
"Selon l'INSEE, l'installation en France d'un établissement manufacturier générant 1 Md€ de valeur ajoutée fait baisser les émissions mondiales de GES de combien ?",740 000 tonnes de CO2.
Quelle proportion d'étudiantes le ministre de l'économie vise-t-il dans les écoles d'ingénieurs sous la tutelle de Bercy d'ici 2030 ?,35 %.
"Quelle startup française, accompagnée par la DGE, vise à produire des cellules de batteries à faible empreinte carbone à Dunkerque ?",Verkor.
"Quel fonds, porté par l'ADEME, est destiné à accompagner la transition durable de la restauration et de l'hôtellerie dans les territoires peu denses ?",Le fonds « Tourisme durable ».
La loi dite « _____ » ouvre la possibilité pour les personnes publiques d'avoir recours à des marchés globaux de performance énergétique à tiers financement.,Cazenave
"Quelle est la part de produits de qualité et durables (dont bio) que le ministère vise à atteindre dans sa restauration collective, conformément à la loi EGALIM ?","50 % de produits de qualité et durables, dont 20 % de produits bio."
Quel est l'objectif du ministère concernant ses datacenters d'ici 2026/2027 ?,Réduire leur nombre à quatre actifs et un de secours.
Quel est l'acronyme du ministère porteur de cette brochure ?,"MEFSIN (ministère de l’Économie, des finances et de la Souveraineté industrielle et numérique)."
