De quelle fusion historique est issue la Direction générale des Finances publiques (DGFiP) ?,La fusion entre la Direction générale des Impôts (DGI) et la Direction générale de la Comptabilité publique (DGCP).
Quelle est l'exception géographique française au modèle de publicité foncière de la DGFiP ?,"Les départements de la Moselle, du Bas-Rhin et du Haut-Rhin (Livre Foncier)."
Quelle fonction civile remplit l'enregistrement d'un acte sous seing privé ?,Il lui confère une « date certaine » inattaquable à l'égard des tiers.
Quel est le montant de l'abattement légal pour une donation en ligne directe (parent à enfant) ?,"$100\,000$ € renouvelables tous les $15$ ans."
Quel est le montant de l'abattement spécifique pour une personne reconnue handicapée lors d'une transmission ?,"$159\,325$ € (cumulable avec les autres abattements)."
Quel est le taux d'imposition pour une transmission entre tiers non parents (sans lien de parenté) ?,$60$ %.
Qu'est-ce qu'un « état hypothécaire » ?,Un document certifié retraçant l'historique des propriétaires et les charges (dettes) grevant un bien.
Quel est le délai maximal dont dispose le SPFE pour répondre à une réquisition d'information ?,$10$ jours.
Pourquoi le retard dans la publicité foncière cause-t-il des erreurs dans les avis de taxe foncière ?,Car la mise à jour des identités des propriétaires au cadastre dépend de la publication préalable de l'acte notarié.
Qu'est-ce que l'opposabilité « erga omnes » dans le cadre de la publicité foncière ?,Le fait que les droits réels publiés sont contestables par et envers tout le monde.
Quel organisme assure la coordination technique pour le versement des aides massives (ex: aides COVID) ?,La Mission CHORUS de la DGFiP.
